 0.01720209895e0
 3498.790e0
 28.0512e0 169.5291e0
   0.1577287066246e+08   0.6666666666667e+07   0.9433962264151e+06   0.5094243504840e+06   0.2314814814815e+06   0.4225863977890e+04   0.3333333333333e+08   0.3225806451613e+06   0.2858130953844e-03
   0.6667061728782e+01   0.4585536751534e+01   0.3328306445055e+01   0.2295717646433e+01   0.1390853715957e+01   0.3940425676910e+00   0.2953088138695e+00   0.7920197763193e-01   0.5839811452566e-03
    1    1   3 8
    1   0.5196910356411064e-02   0.3141592653589793e+01   0.0000000000000000e+00  0  0  0  0  0  0  0  0
    2   0.2760763800054540e-04   0.6863463000141887e+00   0.8904537688864059e-01  0  0  0  0  0  0  0  0
    3   0.9347313993693880e-05   0.2209688858348459e+01   0.1019765304355295e+02  0  0  0  0  0  0  0  0
    4   0.1247132122206555e-03   0.3384553386830940e+01   0.2428763081719043e+04  2  0 -2  0  0  0  0  0
    5   0.5773002078925660e-04   0.9293070332553311e+00   0.2428852127095932e+04  2  0 -2  0  0  0  0  0
    6   0.5767710349652186e-04   0.2698207086816744e+01   0.2428674036342154e+04  2  0 -2  0  0  0  0  0
    7   0.1211438560239529e-04   0.2011860786802310e+01   0.2428584990965266e+04  2  0 -2  0  0  0  0  0
    8   0.1201719293977645e-04   0.4757245986859100e+01   0.2428941172472820e+04  2  0 -2  0  0  0  0  0
    1    2   29 35
    0   0.1822484926062486e+00      0.2435144296437475e+04
    1   0.7574073228630605e+00   0.6863463000141887e+00   0.8904537688864059e-01  0  0  0  0  0  0  0  0
    2   0.1243299165183161e-01   0.2059038900042566e+01   0.2671361306659218e+00  0  0  0  0  0  0  0  0
    3   0.2266397525680950e-02   0.2209688858348459e+01   0.1019765304355295e+02  0  0  0  0  0  0  0  0
    4   0.1059900648786554e-02   0.4664935211924063e+01   0.1010860766666431e+02  0  0  0  0  0  0  0  0
    5   0.1022783782146454e-02   0.2896035158362648e+01   0.1028669842044159e+02  0  0  0  0  0  0  0  0
