 42
 0        0        1         1e5 1e2 0.2
 0.27639  0.85065  0.44721   1e5 1e2 0.2
 0.89443  0        0.44721   1e5 1e2 0.2
-0.72361  0.52573  0.44721   1e5 1e2 0.2
-0.72361 -0.52573  0.44721   1e5 1e2 0.2
 0.27639 -0.85065  0.44721   1e5 1e2 0.2
 0.72361  0.52573 -0.44721   1e5 1e2 0.2
-0.27639  0.85065 -0.44721   1e5 1e2 0.2
-0.89443  0       -0.44721   1e5 1e2 0.2
-0.27639 -0.85065 -0.44721   1e5 1e2 0.2
 0.72361 -0.52573 -0.44721   1e5 1e2 0.2
 0        0       -1         1e5 1e2 0.2
 0.52573  0        0.85065   1e5 1e2 0.2
 0.16246  0.5      0.85065   1e5 1e2 0.2
 0.68819  0.5      0.52573   1e5 1e2 0.2
-0.42533  0.30902  0.85065   1e5 1e2 0.2
-0.26287  0.80902  0.52573   1e5 1e2 0.2
-0.42533 -0.30902  0.85065   1e5 1e2 0.2
-0.85065  0        0.52573   1e5 1e2 0.2
 0.16246 -0.5      0.85065   1e5 1e2 0.2
-0.26287 -0.80902  0.52573   1e5 1e2 0.2
 0.68819 -0.5      0.52573   1e5 1e2 0.2
 0.95106  0.30902  0         1e5 1e2 0.2
 0.58779  0.80902  0         1e5 1e2 0.2
 0        1        0         1e5 1e2 0.2
-0.58779  0.80902  0         1e5 1e2 0.2
-0.95106  0.30902  0         1e5 1e2 0.2
-0.95106 -0.30902  0         1e5 1e2 0.2
-0.58779 -0.80902  0         1e5 1e2 0.2
 0       -1        0         1e5 1e2 0.2
 0.58779 -0.80902  0         1e5 1e2 0.2
 0.95106 -0.30902  0         1e5 1e2 0.2
 0.26287  0.80902 -0.52573   1e5 1e2 0.2
-0.68819  0.5     -0.52573   1e5 1e2 0.2
-0.68819 -0.5     -0.52573   1e5 1e2 0.2
 0.26287 -0.80902 -0.52573   1e5 1e2 0.2
 0.85065  0       -0.52573   1e5 1e2 0.2
 0.42533  0.30902 -0.85065   1e5 1e2 0.2
-0.16246  0.5     -0.85065   1e5 1e2 0.2
-0.52573  0       -0.85065   1e5 1e2 0.2
-0.16246 -0.5     -0.85065   1e5 1e2 0.2
 0.42533 -0.30902 -0.85065   1e5 1e2 0.2
