 0.4700000000000000E+03, 0.6262889690250000E+02, 0.2632927000000000E-03,   70,   70,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    1,    0, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    1,    1, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    2,    0,-0.1185099078733000E-01, 0.0000000000000000E+00, 0.2882373199976000E-07, 0.0000000000000000E+00             
    2,    1, 0.2360776951664000E-08,-0.9197235234461999E-10, 0.1757689245095000E-07, 0.1758206551971000E-07             
    2,    2, 0.2470135451313000E-03,-0.2743515682077000E-03, 0.3736705991690000E-07, 0.3709490312531000E-07             
    3,    0, 0.4153368314230000E-04, 0.0000000000000000E+00, 0.1303001226045000E-07, 0.0000000000000000E+00             
    3,    1, 0.2338206020399000E-04, 0.6214852028241000E-04, 0.1614006639100000E-07, 0.1655842416139000E-07             
    3,    2,-0.1917517372791000E-04, 0.7074830299238000E-04, 0.1485892420093000E-07, 0.1523757212606000E-07             
    3,    3,-0.4882525846862000E-04,-0.9004572784906000E-04, 0.2170577823070000E-07, 0.2152772489574000E-07             
    4,    0, 0.5729622578975000E-03, 0.0000000000000000E+00, 0.1968017603384000E-07, 0.0000000000000000E+00             
    4,    1,-0.2273819468200000E-04,-0.2348927785871000E-05, 0.2181646052096000E-07, 0.2213828005144000E-07             
    4,    2, 0.1238374385439000E-04,-0.1721709227866000E-04, 0.2471157417665000E-07, 0.2460678319858000E-07             
    4,    3,-0.2344205740795000E-04,-0.3327784249711000E-05, 0.2038443732129000E-07, 0.2036575739190000E-07             
    4,    4, 0.2661161865683000E-04, 0.2753622416109000E-04, 0.1980573579426000E-07, 0.1969418873017000E-07             
    5,    0,-0.3983832349028000E-06, 0.0000000000000000E+00, 0.3252132608721000E-07, 0.0000000000000000E+00             
    5,    1, 0.1531159714438000E-04,-0.2229323581098000E-04, 0.3185900793809000E-07, 0.3187149782812000E-07             
    5,    2,-0.1168659896645000E-04, 0.7396981729673000E-05, 0.3015761924893000E-07, 0.3018134627451000E-07             
    5,    3, 0.2463162930421000E-04,-0.2732192880528000E-04, 0.3725688223920000E-07, 0.3751399949814000E-07             
    5,    4,-0.3338672681917000E-04, 0.2208205809176000E-04, 0.2800046776711000E-07, 0.2808173227883000E-07             
    5,    5,-0.2348628192649000E-04, 0.1935547978857000E-04, 0.2995305783290000E-07, 0.2996169697542000E-07             
    6,    0,-0.2277443663103000E-04, 0.0000000000000000E+00, 0.4584985794026000E-07, 0.0000000000000000E+00             
    6,    1, 0.6800747297276000E-05, 0.2795613442990000E-04, 0.4816555081354000E-07, 0.4823910641577000E-07             
    6,    2,-0.3516979966873000E-05,-0.5226095858217000E-05, 0.4522496549007000E-07, 0.4433441812377000E-07             
    6,    3,-0.9860658461948000E-05, 0.3850254907395000E-04, 0.4262159477531000E-07, 0.4329258227290000E-07             
    6,    4, 0.1068695836393000E-04,-0.8360249280300000E-05, 0.4548789388101000E-07, 0.4522725819888000E-07             
    6,    5, 0.2253138969588000E-04,-0.3943889331103000E-05, 0.4442638099047000E-07, 0.4437003609161000E-07             
    6,    6,-0.2230790768717000E-04,-0.5811432336878000E-05, 0.3863660917264000E-07, 0.3810710575997000E-07             
    7,    0, 0.1562888647054000E-05, 0.0000000000000000E+00, 0.7113049978656000E-07, 0.0000000000000000E+00             
    7,    1,-0.1002819712566000E-05,-0.6767487852285000E-06, 0.7294730174716000E-07, 0.7098674993617000E-07             
    7,    2, 0.2398536210615000E-04,-0.5923435955278000E-05, 0.6936194496788000E-07, 0.6732007438776000E-07             
    7,    3,-0.1830060569179000E-04,-0.6959175902344000E-05, 0.6297089756619000E-07, 0.6365620738610001E-07             
    7,    4, 0.1234191645572000E-04,-0.1076091070571000E-04, 0.5784623505247000E-07, 0.5799538195948000E-07             
    7,    5, 0.2622926410531000E-05,-0.2334540460040000E-04, 0.6823981821286000E-07, 0.6860653611850000E-07             
    7,    6, 0.6533001670011000E-06,-0.4657876165441000E-05, 0.6578515656082000E-07, 0.6610923503837000E-07             
    7,    7, 0.5253806076850000E-05,-0.1446157261873000E-04, 0.5415810179057000E-07, 0.5416246872711000E-07             
    8,    0, 0.5837816714802000E-05, 0.0000000000000000E+00, 0.1127276329933000E-06, 0.0000000000000000E+00             
    8,    1,-0.5551031590555000E-05,-0.1297749359969000E-05, 0.1158845268810000E-06, 0.1099883075973000E-06             
    8,    2,-0.1582389675747000E-04, 0.7058103510092000E-05, 0.1119948614696000E-06, 0.1065465467404000E-06             
    8,    3,-0.8859442867170000E-05, 0.2196192625633000E-06, 0.9759230049326000E-07, 0.1011927647777000E-06             
    8,    4,-0.3194952391972000E-05, 0.1120092159359000E-04, 0.8831375961023000E-07, 0.8842027332451000E-07             
    8,    5, 0.3106475690666000E-05, 0.4929318012282000E-05, 0.9058692033048001E-07, 0.9056921899323001E-07             
    8,    6, 0.1426255693255000E-05,-0.1405530131084000E-04, 0.9663256725578999E-07, 0.9716095885621001E-07             
    8,    7,-0.1051420783871000E-04, 0.1361356480304000E-04, 0.9818363660424000E-07, 0.9654142252193000E-07             
    8,    8, 0.3869101616042000E-05, 0.9224802095227000E-05, 0.7736611965399000E-07, 0.7731342623027001E-07             
    9,    0, 0.1339154146757000E-05, 0.0000000000000000E+00, 0.1795167762989000E-06, 0.0000000000000000E+00             
    9,    1, 0.5186976021920000E-05, 0.1356933965102000E-04, 0.1839850802018000E-06, 0.1703226953530000E-06             
    9,    2, 0.1772377522502000E-04, 0.3997588273468000E-05, 0.1741379217255000E-06, 0.1653810002084000E-06             
    9,    3,-0.1998999845171000E-04,-0.6744665504353000E-05, 0.1574707502359000E-06, 0.1644679607448000E-06             
    9,    4,-0.8165140300152000E-05, 0.2500428510651000E-05, 0.1419740760705000E-06, 0.1427167030517000E-06             
    9,    5, 0.3158078451614000E-05,-0.8864423496207000E-05, 0.1341033161403000E-06, 0.1337932518804000E-06             
    9,    6, 0.5823642256166000E-05, 0.3121676428551000E-05, 0.1459469874558000E-06, 0.1473473738429000E-06             
    9,    7,-0.2185831305228000E-05, 0.2318265932878000E-04, 0.1482680250190000E-06, 0.1481764353398000E-06             
    9,    8,-0.7487587797895000E-05,-0.1444918747105000E-04, 0.1484742770735000E-06, 0.1491341427834000E-06             
    9,    9, 0.2594553337594000E-05, 0.8933986742327000E-05, 0.1130169575893000E-06, 0.1151552567807000E-06             
   10,    0,-0.1518122256226000E-04, 0.0000000000000000E+00, 0.2818582024094000E-06, 0.0000000000000000E+00             
   10,    1,-0.2436853945542000E-05,-0.6833782782267000E-05, 0.2950749107434000E-06, 0.2652014208499000E-06             
   10,    2, 0.1722460811734000E-05,-0.5588041618441000E-05, 0.2786521778269000E-06, 0.2638963563645000E-06             
   10,    3,-0.1753401313489000E-05,-0.2220969848300000E-04, 0.2449526751669000E-06, 0.2561703435886000E-06             
   10,    4, 0.7036204078395000E-05,-0.4260881304745000E-05, 0.2290462499282000E-06, 0.2289335802149000E-06             
   10,    5,-0.1516094016947000E-05,-0.1399312093774000E-04, 0.2073760291232000E-06, 0.2065319703006000E-06             
   10,    6,-0.1602534137259000E-04,-0.2125118603179000E-05, 0.1873391290090000E-06, 0.1885472032456000E-06             
   10,    7,-0.5580802204585000E-05, 0.5368467806651000E-05, 0.2161120782073000E-06, 0.2179295961961000E-06             
   10,    8,-0.5113805442021000E-05, 0.7396145757135000E-05, 0.2324635253399000E-06, 0.2306267734933000E-06             
   10,    9, 0.2380156008246000E-05, 0.2471751494472000E-04, 0.2194407870109000E-06, 0.2195281081918000E-06             
   10,   10, 0.1478486226056000E-04,-0.7175586437220000E-05, 0.1750128996751000E-06, 0.1737228391770000E-06             
   11,    0,-0.3806251122384000E-05, 0.0000000000000000E+00, 0.4460184271008000E-06, 0.0000000000000000E+00             
   11,    1, 0.8173355676945000E-05, 0.1103478574829000E-04, 0.4669519727975000E-06, 0.4095098782712000E-06             
   11,    2,-0.4405276207005000E-05, 0.6822578616925000E-05, 0.4387018086445000E-06, 0.4194012877506000E-06             
   11,    3, 0.1045912154377000E-04, 0.4098889402466000E-06, 0.3943318780817000E-06, 0.4130779520774000E-06             
   11,    4, 0.8454972656044000E-05,-0.4512643729976000E-05, 0.3629420697491000E-06, 0.3624508738211000E-06             
   11,    5, 0.9520887310689999E-05,-0.1284286900272000E-04, 0.3295822283552000E-06, 0.3272322760956000E-06             
   11,    6, 0.1011246839205000E-04,-0.2053770160264000E-05, 0.2956286222336000E-06, 0.2953962378758000E-06             
   11,    7,-0.1781829719027000E-04, 0.1362553853206000E-04, 0.2781887586729000E-06, 0.2778092415199000E-06             
   11,    8,-0.2188451870010000E-05,-0.2371279158413000E-05, 0.3296949963425000E-06, 0.3262202585061000E-06             
   11,    9,-0.9346486734057000E-05,-0.5327475071265000E-05, 0.3510432814850000E-06, 0.3520906640377000E-06             
   11,   10, 0.3570871153647000E-05, 0.1678603885960000E-04, 0.3136799485822000E-06, 0.3107242637755000E-06             
   11,   11,-0.7748536917751000E-05,-0.8253351489960000E-06, 0.2511173069653000E-06, 0.2554793807005000E-06             
   12,    0, 0.8252012032464001E-05, 0.0000000000000000E+00, 0.6984201051552000E-06, 0.0000000000000000E+00             
   12,    1, 0.1119025074837000E-04,-0.4831586691774000E-05, 0.7402493003821000E-06, 0.6342067017904000E-06             
   12,    2, 0.7227625853497000E-05,-0.1186730163496000E-04, 0.6846509586459000E-06, 0.6575280934629000E-06             
   12,    3, 0.6695839436595000E-05, 0.1841359968337000E-04, 0.6224856616645000E-06, 0.6510511579172000E-06             
   12,    4, 0.8569931044615000E-05, 0.4727144904572000E-05, 0.5711989637933000E-06, 0.5722026517963000E-06             
   12,    5,-0.4483749082822000E-05,-0.8907957652423999E-05, 0.5204209420846000E-06, 0.5189433609787000E-06             
   12,    6,-0.1035897295630000E-04,-0.9894336658064999E-06, 0.4727594230271000E-06, 0.4743706985840000E-06             
   12,    7,-0.6343582377014000E-05,-0.5420317787120000E-05, 0.4275175897983000E-06, 0.4284656528290000E-06             
   12,    8,-0.3858079833713000E-05, 0.4434052772303000E-05, 0.4404174521243000E-06, 0.4380028548541000E-06             
   12,    9, 0.9162558510220001E-05, 0.2871187538678000E-05, 0.4808288113054000E-06, 0.4892275256701000E-06             
   12,   10,-0.8143122968384000E-05,-0.3457838988134000E-05, 0.5248679252418000E-06, 0.5199905262898000E-06             
   12,   11,-0.1604162650153000E-06,-0.1211819809127000E-04, 0.4406572729721000E-06, 0.4435838399326000E-06             
   12,   12,-0.7853673377701000E-05,-0.1622258606413000E-04, 0.3665792834671000E-06, 0.3714767102727000E-06             
   13,    0,-0.2669107220806000E-06, 0.0000000000000000E+00, 0.1054600953319000E-05, 0.0000000000000000E+00             
   13,    1, 0.3223459223380000E-06,-0.4123456342014000E-05, 0.1120252265299000E-05, 0.9415997503552000E-06             
   13,    2, 0.3713228542393000E-05, 0.2740511348238000E-05, 0.1033137795402000E-05, 0.9955671713812001E-06             
   13,    3, 0.1064167851920000E-05, 0.4150270089948000E-05, 0.9509995838661000E-06, 0.9906675331893999E-06             
   13,    4,-0.3215058875453000E-05, 0.1293990487551000E-04, 0.8914243204010000E-06, 0.8842597527252000E-06             
   13,    5,-0.1159719529922000E-04,-0.5590996139737000E-05, 0.8020301420104000E-06, 0.7974921394323001E-06             
   13,    6,-0.4351755392061000E-05,-0.6066291810057000E-05, 0.7350356928643000E-06, 0.7328603688735999E-06             
   13,    7,-0.2022694891282000E-05,-0.5980536330708000E-05, 0.6920622393153000E-06, 0.6867857767740000E-06             
