318
1 -2 -1 0  0.00229 0.06 0 0.05 0.27 0.89 0
1 -2 0 0  0.04304 -0.01 0 0.06 5.14 16.74 -0.09
1 -1 -2 0  -0.00694 -0.25 0 -0.23 -0.42 -2.7 0.01
1 -1 -1 0  -0.13636 -3.24 0.19 -2.41 -8.17 -53.02 0.28
1 -1 0 -2  -0.01281 -0.13 -0.57 0 -0.77 -4.98 0.03
1 -1 0 0  -0.55694 -40.23 1.7 -0.01 -33.62 -216.55 1.14
1 -1 1 -2  -0.00212 -0.02 -0.09 -0.04 -0.13 -0.83 0
1 -1 1 0  -0.12073 -6.32 0.25 -2.38 -7.23 -46.94 0.25
1 -1 2 0  -0.01483 -0.72 0.03 -0.56 -0.89 -5.77 0.03
1 0 -4 0  -0.00955 -0.28 0.01 -0.7 0 -3.71 0.02
1 0 -3 0  -0.12812 -3.66 0.13 -7.03 -0.05 -49.82 0.26
1 0 -2 -2  0.00289 0.14 0.12 0.11 0 1.12 0
1 0 -2 0  -1.75296 -48.87 1.67 -64.28 -0.51 -681.6 3.59
1 0 -1 -2  -0.02379 0.12 -1.09 -0.42 0 -9.25 0.05
1 0 -1 0  -18.58467 -437.66 18.91 -346.51 -1 -7226.22 38.1
1 0 -1 2  0.01598 0.32 0.69 0.3 0 6.21 -0.03
1 0 0 -2  -0.58332 -5.89 -25.98 -0.12 0 -226.81 1.2
1 0 0 0  -124.98806 -2831.88 136.18 -86.6 -2.68 -48598.15 256.21
1 0 0 2  0.25429 5.73 11.11 0.26 0 98.87 -0.52
1 0 1 -2  -0.04012 -0.22 -1.8 -0.72 0 -15.6 0.08
1 0 1 0  -8.45308 -187.78 10.1 -158.62 0.77 -3286.75 17.33
1 0 1 2  0.0445 0.98 1.94 0.84 0 17.3 -0.09
1 0 2 0  -0.58399 -12.36 0.75 -21.52 0.13 -227.07 1.2
1 0 2 2  0.0054 0.12 0.24 0.2 0 2.1 -0.01
1 0 3 0  -0.04074 -0.81 0.06 -2.24 0.02 -15.84 0.08
1 0 4 0  -0.00285 -0.05 0 -0.21 0 -1.11 0
1 1 -3 0  0.02296 0.3 0 1.26 1.38 8.93 -0.05
1 1 -2 0  0.34966 5.36 -0.11 12.83 20.95 135.95 -0.72
1 1 -1 0  1.07773 9.38 -1.15 21.49 64.24 418.88 -2.21
1 1 0 0  17.95512 6.59 -11.64 21.84 1074.24 6981.34 -36.8
1 1 0 2  -0.03587 0 -1.58 -0.05 -2.15 -13.95 0.07
1 1 1 0  1.26186 1.83 -0.9 24.5 75.5 490.64 -2.59
1 1 1 2  -0.00659 0 -0.29 -0.13 -0.39 -2.56 0.01
1 1 2 0  0.09205 0.22 -0.07 3.46 5.51 35.79 -0.19
1 1 3 0  0.00679 0.02 0 0.38 0.41 2.64 -0.01
1 2 -2 0  0.00361 0.16 0 0.13 0.43 1.4 0
